asxCode,companyName,industry
CBA,COMMONWEALTH BANK OF AUSTRALIA.,Banks
BHP,BHP GROUP LIMITED,Materials
NEM,NEWMONT CORPORATION,Materials
WBC,WESTPAC BANKING CORPORATION,Banks
NAB,NATIONAL AUSTRALIA BANK LIMITED,Banks
ANZ,ANZ GROUP HOLDINGS LIMITED,Banks
WES,WESFARMERS LIMITED,Consumer Discretionary Distribution & Retail
CSL,CSL LIMITED,"Pharmaceuticals, Biotechnology & Life Sciences"
MQG,MACQUARIE GROUP LIMITED,Financial Services
FMG,FORTESCUE LTD,Materials
GMG,GOODMAN GROUP,Equity Real Estate Investment Trusts (REITs)
XYZ,"BLOCK, INC.",Financial Services
RMD,RESMED INC,Health Care Equipment & Services
TLS,TELSTRA GROUP LIMITED,Telecommunication Services
RIO,RIO TINTO LIMITED,Materials
TCL,TRANSURBAN GROUP,Transportation
WDS,WOODSIDE ENERGY GROUP LTD,Energy
NST,NORTHERN STAR RESOURCES LTD,Materials
WOW,WOOLWORTHS GROUP LIMITED,Consumer Staples Distribution & Retail
ALL,ARISTOCRAT LEISURE LIMITED,Consumer Services
SIG,SIGMA HEALTHCARE LIMITED,Health Care Equipment & Services
BXB,BRAMBLES LIMITED,Commercial & Professional Services
QBE,QBE INSURANCE GROUP LIMITED,Insurance
AMC,AMCOR PLC,Materials
COL,COLES GROUP LIMITED.,Consumer Staples Distribution & Retail
EVN,EVOLUTION MINING LIMITED,Materials
NWS,NEWS CORPORATION..,Media & Entertainment
REA,REA GROUP LTD,Media & Entertainment
WTC,WISETECH GLOBAL LIMITED,Software & Services
PME,PRO MEDICUS LIMITED,Health Care Equipment & Services
SCG,SCENTRE GROUP,Equity Real Estate Investment Trusts (REITs)
STO,SANTOS LIMITED,Energy
CPU,COMPUTERSHARE LIMITED.,Commercial & Professional Services
XRO,XERO LIMITED,Software & Services
ORG,ORIGIN ENERGY LIMITED,Utilities
SUN,SUNCORP GROUP LIMITED,Insurance
FPH,FISHER & PAYKEL HEALTHCARE CORPORATION LIMITED,Health Care Equipment & Services
SGH,SGH LIMITED,Capital Goods
IAG,INSURANCE AUSTRALIA GROUP LIMITED,Insurance
AAI,ALCOA CORPORATION,Materials
JHX,JAMES HARDIE INDUSTRIES PLC,Materials
COH,COCHLEAR LIMITED,Health Care Equipment & Services
S32,SOUTH32 LIMITED,Materials
QAN,QANTAS AIRWAYS LIMITED,Transportation
SGP,STOCKLAND,Equity Real Estate Investment Trusts (REITs)
CSC,CAPSTONE COPPER CORP.,Materials
SOL,WASHINGTON H. SOUL PATTINSON AND COMPANY LIMITED,Financial Services
MPL,MEDIBANK PRIVATE LIMITED,Insurance
MEZ,MERIDIAN ENERGY LIMITED,Utilities
PLS,PLS GROUP LIMITED,Materials
LYC,LYNAS RARE EARTHS LIMITED,Materials
APA,APA GROUP,Utilities
AIA,AUCKLAND INTERNATIONAL AIRPORT LIMITED,Transportation
CHC,CHARTER HALL GROUP,Equity Real Estate Investment Trusts (REITs)
LNW,LIGHT & WONDER INC.,Consumer Services
VCX,VICINITY CENTRES,Equity Real Estate Investment Trusts (REITs)
CAR,CAR GROUP LIMITED,Media & Entertainment
TLC,THE LOTTERY CORPORATION LIMITED,Consumer Services
ORI,ORICA LIMITED,Materials
SHL,SONIC HEALTHCARE LIMITED,Health Care Equipment & Services
ALQ,ALS LIMITED,Commercial & Professional Services
GPT,GPT GROUP,Equity Real Estate Investment Trusts (REITs)
BSL,BLUESCOPE STEEL LIMITED,Materials
